"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000117519",4483.62709360346,-2.41595885287206,0.0598429138992126,-40.3716780392916,0,0,"CNN3","1266","calponin 3"
"ENSG00000183508",2053.88135557663,3.18894125186096,0.0720562975633356,44.2562462921157,0,0,"FAM46C","54855","family with sequence similarity 46 member C"
"ENSG00000159176",5692.46278267679,-2.30779618789827,0.0574194530355216,-40.1918873464466,0,0,"CSRP1","1465","cysteine and glycine rich protein 1"
"ENSG00000150938",7442.98631416393,-2.05499947705043,0.0537424672857801,-38.2379072051678,0,0,"CRIM1","51232","cysteine rich transmembrane BMP regulator 1"
"ENSG00000116016",4423.94665216876,-1.88528795404372,0.0431173130947325,-43.7246159078044,0,0,"EPAS1","2034","endothelial PAS domain protein 1"
"ENSG00000136068",3796.1265394147,-1.64732076872893,0.0438796815398072,-37.5417667339838,0,0,"FLNB","2317","filamin B"
"ENSG00000164251",2348.7701339719,3.33216143014331,0.0687535090208209,48.4653289351998,0,0,"F2RL1","2150","F2R like trypsin receptor 1"
"ENSG00000124766",2576.65254960143,2.38523038110994,0.0615144504449487,38.7751229809743,0,0,"SOX4","6659","SRY-box 4"
"ENSG00000124762",28106.1191885778,1.83010393678274,0.0388778477772663,47.073180266241,0,0,"CDKN1A","1026","cyclin dependent kinase inhibitor 1A"
"ENSG00000106366",43719.1260988373,-1.84152989816484,0.0418868369153618,-43.9644058558518,0,0,"SERPINE1","5054","serpin family E member 1"
"ENSG00000188153",2944.12640623352,2.26071323692294,0.0551340240484466,41.0039585526433,0,0,"COL4A5","1287","collagen type IV alpha 5 chain"
"ENSG00000122861",28007.1433373973,2.25717564353069,0.0551126738793606,40.9556547459766,0,0,"PLAU","5328","plasminogen activator, urokinase"
"ENSG00000148773",1840.19727265675,-3.18185880835099,0.075380685242611,-42.2105317577076,0,0,"MKI67","4288","marker of proliferation Ki-67"
"ENSG00000059804",3443.39680712992,2.07500686247048,0.0542039418202061,38.2814753464472,0,0,"SLC2A3","6515","solute carrier family 2 member 3"
"ENSG00000123416",4420.07398793879,-1.9345708054053,0.0504882117770313,-38.3172771883634,0,0,"TUBA1B","10376","tubulin alpha 1b"
"ENSG00000139289",12942.9106281238,2.03397109000935,0.0462422714035239,43.9851034189109,0,0,"PHLDA1","22822","pleckstrin homology like domain family A member 1"
"ENSG00000125257",6050.78726438958,1.94767221026088,0.0435461506488065,44.7266217849788,0,0,"ABCC4","10257","ATP binding cassette subfamily C member 4"
"ENSG00000211448",1884.75741158654,2.51536113237552,0.0651492517700282,38.6092098379663,0,0,"DIO2","1734","deiodinase, iodothyronine type II"
"ENSG00000128917",1307.34250385583,3.83600319425716,0.0857274961446454,44.7464741975525,0,0,"DLL4","54567","delta like canonical Notch ligand 4"
"ENSG00000138623",2851.61916336974,-2.40038639329411,0.0579802116759923,-41.4000971005083,0,0,"SEMA7A","8482","semaphorin 7A (John Milton Hagen blood group)"
"ENSG00000131747",1743.84285765667,-2.91322160226289,0.0693093643690702,-42.0321500389193,0,0,"TOP2A","7153","topoisomerase (DNA) II alpha"
"ENSG00000167601",8245.06804500101,-2.13962438406063,0.0404121183496757,-52.9451182327789,0,0,"AXL","558","AXL receptor tyrosine kinase"
"ENSG00000198743",1999.10327890814,2.52568409115251,0.0668341976740343,37.7902956727459,0,0,"SLC5A3","6526","solute carrier family 5 member 3"
"ENSG00000074800",18390.4756149844,-1.33759303144107,0.0358502165964437,-37.3105983290978,1.10484890988767e-304,6.64152300956225e-302,"ENO1","2023","enolase 1"
"ENSG00000181104",14922.5173336984,1.66556548236147,0.0447118904772348,37.2510637457724,1.01838381345582e-303,5.87688931069087e-301,"F2R","2149","coagulation factor II thrombin receptor"
"ENSG00000115963",13232.3301349766,1.80198558759229,0.0487940756713783,36.930417531186,1.50219809885715e-298,8.3354661431585e-296,"RND3","390","Rho family GTPase 3"
"ENSG00000104368",13214.4968037918,2.02287306261303,0.0549382057131047,36.8208796839265,8.55563064638011e-297,4.5715586420491e-294,"PLAT","5327","plasminogen activator, tissue type"
"ENSG00000104081",804.838487338129,4.38418977002529,0.119093614245638,36.8129710211215,1.1449851542412e-296,5.89953600722776e-294,"BMF","90427","Bcl2 modifying factor"
"ENSG00000157680",1359.0634938634,2.53546073385371,0.0690438205540612,36.7224860024722,3.19693501245136e-295,1.59042004912537e-292,"DGKI","9162","diacylglycerol kinase iota"
"ENSG00000074416",2392.80973934457,-2.14231258964785,0.0587416632139922,-36.4700703458726,3.3075668355284e-291,1.59060889120561e-288,"MGLL","11343","monoglyceride lipase"
"ENSG00000165434",1243.14971044106,2.50786826349482,0.069077416489088,36.3051832416312,1.34021835452462e-288,6.23720329055702e-286,"PGM2L1","283209","phosphoglucomutase 2 like 1"
"ENSG00000166073",2268.80918089117,-2.20034841301779,0.0606388335111304,-36.2861269851754,2.67785499331221e-288,1.2072941871411e-285,"GPR176","11245","G protein-coupled receptor 176"
"ENSG00000101825",1024.97040543336,3.26666747357583,0.0901718873819406,36.2271165484118,2.27863186061977e-287,9.96176419792770e-285,"MXRA5","25878","matrix remodeling associated 5"
"ENSG00000091527",2814.15907315816,-1.8067284664084,0.0498810723908932,-36.2207222060097,2.87306556259133e-287,1.21910931975015e-284,"CDV3","55573","CDV3 homolog"
"ENSG00000117724",1324.17284690485,-2.81179248776534,0.0777262815436835,-36.1755693431064,1.47475209501172e-286,6.0789281356383e-284,"CENPF","1063","centromere protein F"
"ENSG00000033867",3157.52042924196,1.93071552726574,0.053418643574287,36.1431028210361,4.77481052800463e-286,1.91350531909786e-283,"SLC4A7","9497","solute carrier family 4 member 7"
"ENSG00000198959",5110.85796803933,-1.74301912891022,0.0487178697219227,-35.7778190807443,2.44429754176105e-280,9.5307785499964e-278,"TGM2","7052","transglutaminase 2"
"ENSG00000110002",899.504360793506,4.38505218856149,0.123761586061084,35.431447900136,5.6011072390148e-275,2.12650458255965e-272,"VWA5A","4013","von Willebrand factor A domain containing 5A"
"ENSG00000164938",1395.92210584831,2.31006095448912,0.0653540057387138,35.346891569658,1.11913713527707e-273,4.13994652580573e-271,"TP53INP1","94241","tumor protein p53 inducible nuclear protein 1"
"ENSG00000073712",2356.74691021858,-2.29751707506488,0.0651697195213326,-35.2543649403433,2.94125964831462e-272,1.06083882365588e-269,"FERMT2","10979","fermitin family member 2"
"ENSG00000143799",1043.84682510942,-2.60629305678752,0.0739752426467579,-35.2319636075131,6.48159354125763e-272,2.28073048828595e-269,"PARP1","142","poly(ADP-ribose) polymerase 1"
"ENSG00000196549",1520.30148791169,2.82318356712087,0.0801809166783787,35.2101682554368,1.39745770191722e-271,4.80026720608567e-269,"MME","4311","membrane metalloendopeptidase"
"ENSG00000088325",1049.74978195443,-2.99482279060836,0.0854906148908861,-35.0310124032998,7.58852089172474e-269,2.54603699778867e-266,"TPX2","22974","TPX2, microtubule nucleation factor"
"ENSG00000133318",1500.97300012898,-2.40510558219263,0.0687758120701693,-34.9702244117277,6.38149787111399e-268,2.09240613151276e-265,"RTN3","10313","reticulon 3"
"ENSG00000154864",1374.01910088605,2.34949756957372,0.0673965121392553,34.8608183865534,2.9192577987255e-266,9.35914050271395e-264,"PIEZO2","63895","piezo type mechanosensitive ion channel component 2"
"ENSG00000197321",4211.22514661471,1.72950914688378,0.0496667769438516,34.8222544989982,1.12016324226164e-265,3.51317284698014e-263,"SVIL","6840","supervillin"
"ENSG00000198901",744.768135087352,-3.15545201661744,0.0920022913397402,-34.2975372750792,8.53955766842512e-258,2.62128081877381e-255,"PRC1","9055","protein regulator of cytokinesis 1"
